treatnr,blind,dsr,round,seller_quality_choice,buyer_cf_notpos,auction_price,matching_group_id
2,1,0,5,100,0,169,67
2,1,0,5,91,1,191,66
1,0,0,5,90,0,161,45
3,0,1,5,60,1,123,57
2,1,0,5,100,0,200,67
2,1,0,5,70,1,132,68
2,1,0,5,85,,191,31
2,1,0,5,65,,171,31
1,0,0,5,90,0,122,46
1,0,0,5,50,1,100,47
1,0,0,5,87,0,218,11
2,1,0,5,92,,165,32
1,0,0,5,100,0,151,48
2,1,0,5,95,1,171,32
1,0,0,5,100,1,299,14
3,0,1,5,100,,141,22
3,0,1,5,45,1,135,24
3,0,1,5,95,0,241,24
2,1,0,5,89,1,181,68
3,0,1,5,50,1,201,21
2,1,0,5,96,0,258,34
3,0,1,5,42,1,142,21
2,1,0,5,50,1,102,66
3,0,1,5,94,0,151,56
2,1,0,5,87,0,137,65
1,0,0,5,40,1,156,12
1,0,0,5,70,1,201,45
1,0,0,5,15,,115,13
1,0,0,5,80,,151,13
1,0,0,5,90,1,201,46
1,0,0,5,90,0,151,48
2,1,0,5,91,1,210,34
3,0,1,5,100,0,181,23
3,0,1,5,100,,202,58
3,0,1,5,95,0,100,55
3,0,1,5,98,0,191,22
2,1,0,5,57,1,141,65
3,0,1,5,100,0,220,23
2,1,0,5,0,1,121,33
3,0,1,5,80,,141,58
1,0,0,5,5,1,123,12
3,0,1,6,100,0,186,55
1,0,0,6,90,,103,45
1,0,0,6,95,1,225,14
2,1,0,6,0,1,105,33
2,1,0,6,85,,152,31
1,0,0,6,95,,201,11
2,1,0,6,90,1,161,67
2,1,0,6,85,,148,68
1,0,0,6,80,,122,13
3,0,1,6,0,1,131,57
1,0,0,6,90,0,181,46
2,1,0,6,90,1,181,34
1,0,0,6,93,1,205,12
3,0,1,6,90,,146,58
1,0,0,6,75,0,181,47
2,1,0,6,90,1,161,32
1,0,0,6,75,,101,47
3,0,1,6,60,1,201,22
1,0,0,6,0,1,148,11
3,0,1,6,100,,110,55
2,1,0,6,86,,221,34
3,0,1,6,55,1,161,23
2,1,0,6,98,0,210,67
3,0,1,6,100,0,162,57
1,0,0,6,70,1,131,13
3,0,1,6,80,1,206,23
3,0,1,6,95,0,152,58
